Published,Title,Summary,Link
"Sun, 11 Oct 2020 20:00:00 +0000",Split-Second ‘Phantom’ Images Can Fool Tesla’s Autopilot,Researchers found they could stop a Tesla by flashing a few frames of a stop sign for less than half a second on an internet-connected billboard.,['https://www.wired.com/story/tesla-model-x-autopilot-phantom-images']
"Sun, 11 Oct 2020 11:00:00 +0000",Amazon's Latest Gimmicks Are Pushing the Limits of Privacy,Privacy advocates warn that the Ring Always Home Cam and Amazon One both normalize aggressive new forms of data collection.,['https://www.wired.com/story/amazon-drone-camera-go-palm-data-privacy']
"Sat, 10 Oct 2020 14:00:00 +0000",Researchers Found 55 Flaws in Apple's Corporate Network,"The company has patched the vulnerabilities and paid the team of white-hat hackers $288,000.",['https://www.wired.com/story/researchers-found-55-flaws-in-apples-corporate-network']
"Sat, 10 Oct 2020 13:00:00 +0000",The Law Comes for John McAfee,"Plus: A buggy chastity lock, Iranian disinformation, and more of the week’s top security news.",['https://www.wired.com/story/john-mcafee-iran-hacking-chastity-lock-security-news']
"Thu, 08 Oct 2020 16:00:00 +0000",Android Ransomware Has Picked Up Some Ominous New Tricks,"While it's still far more common on PCs, mobile ransomware has undergone a worrying evolution, new research shows.",['https://www.wired.com/story/android-ransomware-worrying-evolution']
"Thu, 08 Oct 2020 11:00:00 +0000",Behind Anduril’s Effort to Create an Operating System for War,"The company, launched by Oculus cofounder Palmer Luckey, is building software to connect multiple Air Force systems—allowing officers to act more quickly.",['https://www.wired.com/story/behind-anduril-effort-create-operating-system-war']
"Wed, 07 Oct 2020 18:19:19 +0000",How Google's Android Keyboard Keeps ‘Smart Replies’ Private,The latest Gboard feature needs to know as much as possible about your digital life to work—but doesn't share that data with Google.,['https://www.wired.com/story/gboard-smart-reply-privacy']
"Tue, 06 Oct 2020 22:40:44 +0000",Apple's T2 Security Chip Has an Unfixable Flaw,The Checkm8 vulnerability that exposed years of iPhones to jailbreaking has finally been exploited in Macs as well.,['https://www.wired.com/story/apple-t2-chip-unfixable-flaw-jailbreak-mac']
"Tue, 06 Oct 2020 11:00:00 +0000",A Poker Pro Accused of Cheating Wants $330M in Damages,Mike Postle claims he was the victim of an elaborate online campaign to tar him as a fraud—and he's suing a dozen defendants.,['https://www.wired.com/story/poker-pro-accused-of-cheating-wants-dollar330m-damages']
"Mon, 05 Oct 2020 16:15:03 +0000",A Dangerous Year in America Enters Its Most Dangerous Month,"Seven distinct factors between now and the election threaten to combine, compound, and reinforce each other in unpredictable ways.",['https://www.wired.com/story/trump-covid-election-unrest-dangerous-month-america']
"Mon, 05 Oct 2020 10:00:00 +0000",A China-Linked Group Repurposed Hacking Team’s Stealthy Spyware,The tool attacks a device’s UEFI firmware—which makes it especially hard to detect and destroy.,['https://www.wired.com/story/hacking-team-uefi-tool-spyware']
"Sat, 03 Oct 2020 13:00:00 +0000",Paying Evil Corp Ransomware Might Land You a Big Federal Fine,"Plus: A Grindr bug, a Joker explosion, and more of the week's top security news.",['https://www.wired.com/story/ransomware-fine-grindr-bug-joker-malware-security-news']
"Fri, 02 Oct 2020 20:29:55 +0000",Those ‘Doomsday Planes’ Have Nothing to Do With Trump's Covid-19 Test,"Yes, two Boeing E-6B Mercury were flying last night. No, that's not because of the president's positive test.",['https://www.wired.com/story/doomsday-planes-trump-covid-19-test']
"Fri, 02 Oct 2020 12:00:00 +0000",The Strangest Election Scenario Runs Through Georgia,"There’s a small but real possibility that we won’t know which party controls the Senate until 2021, thanks to a special election and a unique state requirement.",['https://www.wired.com/story/strangest-2020-election-scenario-runs-through-georgia']
"Thu, 01 Oct 2020 19:36:49 +0000",Facebook Shut Down Malware That Hijacked Accounts to Run Ads,"Hackers spent $4 million of victims’ money to buy ads for diet pills, fake designer handbags, and more.",['https://www.wired.com/story/facebook-shut-down-malware-that-hijacked-accounts-to-run-ads']
